,Right_row,Right_column,Right_brightness,Left_row,Left_column,Left_brightness,Brightness
0,266,471,653.52,266,-49,83.33333333333333,0.1275145876688293
image_num,Right_row,Right_column,Right_brightness,Left_row,Left_column,Left_brightness,Brightness,Neuron_0_row,Neuron_0_column,Neuron_0_brightness,Neuron_1_row,Neuron_1_column,Neuron_1_brightness
0,255,369,854.8666666666667,255,-151,175.86666666666667,0.20572408952663185,255,369,1031,251,378,33493
1,251,388,914.9166666666666,251,-132,196.75,0.21504690773294471,251,388,1248,240,396,33474
2,244,396,921.6363636363636,244,-124,230.72727272727272,0.2503452357466956,244,396,1215,230,401,33488
3,237,397,896.3636363636364,237,-123,221.63636363636363,0.24726166328600405,237,397,1143,223,401,33535
4,233,396,879.3333333333334,233,-124,219.36363636363637,0.2494658487835137,233,396,1147,224,399,33521
5,217,382,822.6153846153846,217,-138,230.15384615384616,0.27978305591920705,217,382,1058,205,383,33464
6,212,371,770.75,212,-149,227.8,0.29555627635420045,212,371,1006,199,372,33443
7,189,362,792.4545454545455,189,-158,200.27272727272728,0.25272456120224845,189,362,1069,178,364,33421
8,200,357,783.875,200,-163,221.875,0.2830489555094881,200,357,998,188,362,33418
9,175,376,741.375,175,-144,175.6875,0.23697521497218008,175,376,962,165,384,33509
10,201,386,818.1666666666666,201,-134,149.08333333333334,0.18221633733958037,201,386,1079,195,397,33450
11,187,411,735.6153846153846,187,-109,135.69230769230768,0.18446094321865522,187,411,981,186,422,33420
12,221,436,716.5882352941177,221,-84,131.47058823529412,0.18346741093416516,221,436,944,219,450,33500
13,209,447,686.1052631578947,209,-73,118.0,0.17198527155569193,209,447,875,207,459,33555
14,223,476,715.3333333333334,223,-44,114.26666666666667,0.1597390493942218,223,476,959,217,488,33469
15,196,446,710.9411764705883,196,-74,144.1764705882353,0.20279662419328148,196,446,880,189,457,33440
16,201,467,724.8823529411765,201,-53,121.29411764705883,0.1673293840785523,201,467,941,193,478,33457
17,175,430,742.5,175,-90,133.0,0.17912457912457913,175,430,959,166,442,33395
18,195,446,780.6666666666666,195,-74,127.4,0.1631938514090521,195,446,937,187,456,33464
19,173,423,757.5,173,-97,126.21428571428571,0.1666195190947666,173,423,948,163,433,33482
20,205,434,672.0625,205,-86,137.1875,0.20412908025667256,205,434,873,196,445,33476
21,192,412,753.8571428571429,192,-108,125.28571428571429,0.16619291263975744,192,412,1058,184,423,33538
22,221,424,515.925925925926,221,-96,131.88888888888889,0.2556353194544149,221,424,707,214,434,33390
23,213,406,597.7777777777778,213,-114,115.11111111111111,0.19256505576208177,213,406,785,206,418,33386
24,240,406,521.8333333333334,240,-114,132.16666666666666,0.253273714468221,240,406,704,234,415,33320
25,236,387,668.9333333333333,236,-133,132.73333333333332,0.1984253537970899,236,387,878,230,397,33383
26,250,386,593.2105263157895,250,-134,177.57894736842104,0.2993523201135658,250,386,778,244,395,33303
27,252,382,688.0,252,-138,176.35714285714286,0.2563330564784053,252,382,846,246,393,33326
28,261,378,671.45,261,-142,206.26315789473685,0.30719064397160895,261,378,846,256,391,33373
29,272,376,660.125,272,-144,194.75,0.2950198825979928,272,376,830,264,388,33423
30,263,383,752.2631578947369,263,-137,187.21052631578948,0.24886307982928707,263,383,949,256,394,33398
31,245,402,707.35,245,-118,146.0,0.20640418463278432,245,402,917,240,414,33328
32,221,423,825.2,221,-97,121.33333333333333,0.1470350622071417,221,423,1095,245,402,32879
33,199,432,748.7142857142857,199,-88,105.14285714285714,0.14043121541690518,196,444,33326,199,432,993
34,200,456,772.5714285714286,200,-64,95.35714285714286,0.12342825443786982,198,468,33372,200,456,1012
35,180,449,723.625,180,-71,97.0625,0.13413370184833304,183,462,33441,180,449,955
36,225,481,717.3125,225,-39,169.4375,0.23621155354186635,233,491,33386,225,481,954
37,232,447,828.0,232,-73,232.9090909090909,0.28129117259552044,244,454,33445,232,447,1056
38,267,461,743.7692307692307,267,-59,171.53846153846155,0.23063398490019654,281,462,33531,267,461,956
39,275,422,782.5,275,-98,126.64285714285714,0.1618439068918302,289,420,33419,275,422,1036
40,280,438,782.0,280,-82,112.41666666666667,0.14375532821824383,293,432,33524,280,438,1011
41,285,422,844.9090909090909,285,-98,109.45454545454545,0.1295459436195395,296,413,33578,285,422,1070
42,272,438,685.5882352941177,272,-82,114.0,0.16628056628056628,281,428,33421,272,438,902
43,271,423,786.2,271,-97,153.66666666666666,0.19545493089120664,277,413,33425,271,423,980
44,261,446,737.125,261,-74,215.5,0.29235204341190435,263,432,33417,261,446,934
45,260,440,776.7142857142857,260,-80,117.78571428571429,0.15164612837962113,260,426,33406,260,440,1003
46,266,471,653.52,266,-49,83.33333333333333,0.1275145876688293,261,459,33431,266,471,871
